EventName	DeviceIDHash	EventTimestamp	ExpId
MainScreenAppear	4575588528974610257	1564029816	246
MainScreenAppear	7416695313311560658	1564053102	246
PaymentScreenSuccessful	3518123091307005509	1564054127	248
CartScreenAppear	3518123091307005509	1564054127	248
PaymentScreenSuccessful	6217807653094995999	1564055322	248
CartScreenAppear	6217807653094995999	1564055323	248
OffersScreenAppear	8351860793733343758	1564066242	246
MainScreenAppear	5682100281902512875	1564085677	246
MainScreenAppear	1850981295691852772	1564086702	247
MainScreenAppear	5407636962369102641	1564112112	246
MainScreenAppear	948465712512390382	1564119214	247
MainScreenAppear	2547684315586332355	1564123826	248
MainScreenAppear	8885295911290764495	1564124085	248
MainScreenAppear	2140904690380565988	1564125732	247
MainScreenAppear	4444236400320272864	1564135560	246
MainScreenAppear	8947220251154009657	1564140668	248
MainScreenAppear	5839517684026830712	1564141421	247
MainScreenAppear	7540130374989658208	1564144283	248
CartScreenAppear	2575393697599976818	1564148945	247
MainScreenAppear	4651149533106703820	1564149866	246
OffersScreenAppear	4651149533106703820	1564149871	246
CartScreenAppear	4651149533106703820	1564149877	246
OffersScreenAppear	4651149533106703820	1564149894	246
MainScreenAppear	8295497290010115455	1564151349	248
MainScreenAppear	2467684065904615242	1564155133	247
CartScreenAppear	5325250209390272889	1564158298	246
OffersScreenAppear	2029140728621466572	1564160796	246
CartScreenAppear	2029140728621466572	1564160801	246
PaymentScreenSuccessful	2029140728621466572	1564160801	246
Tutorial	6598157157289930061	1564164239	247
Tutorial	6598157157289930061	1564164247	247
OffersScreenAppear	4917023139263453733	1564164336	247
MainScreenAppear	7746900626563870083	1564165246	248
MainScreenAppear	6587858566581626601	1564165926	246
MainScreenAppear	6587858566581626601	1564165934	246
PaymentScreenSuccessful	746235405686708560	1564170266	248
CartScreenAppear	746235405686708560	1564170266	248
CartScreenAppear	6805714022805866600	1564170267	246
PaymentScreenSuccessful	6805714022805866600	1564170267	246
MainScreenAppear	4363366562103092326	1564185410	248
MainScreenAppear	4856890444852090984	1564200928	246
MainScreenAppear	2470999879924103731	1564209212	247
PaymentScreenSuccessful	6075091495307260046	1564209665	246
CartScreenAppear	6075091495307260046	1564209665	246
MainScreenAppear	2040085853213296046	1564210468	248
MainScreenAppear	3288659580761907806	1564215790	247
OffersScreenAppear	2039979342104336040	1564216058	247
MainScreenAppear	5638851536233149647	1564216100	248
MainScreenAppear	4827775328614831155	1564217124	247
MainScreenAppear	4827775328614831155	1564217125	247
CartScreenAppear	1877880950237790633	1564217618	246
MainScreenAppear	1877880950237790633	1564217619	246
OffersScreenAppear	1877880950237790633	1564217647	246
MainScreenAppear	663316212994735390	1564217700	246
CartScreenAppear	1880319123864140842	1564221606	247
MainScreenAppear	1880319123864140842	1564221606	247
MainScreenAppear	1857497950491328454	1564222367	246
MainScreenAppear	7684943637852660099	1564223123	246
MainScreenAppear	1410689169177282058	1564223274	246
Tutorial	1410689169177282058	1564223286	246
MainScreenAppear	1410689169177282058	1564223290	246
MainScreenAppear	1410689169177282058	1564223310	246
MainScreenAppear	1410689169177282058	1564223311	246
MainScreenAppear	1410689169177282058	1564223312	246
MainScreenAppear	7121064567474328144	1564224403	248
MainScreenAppear	1410689169177282058	1564224774	246
MainScreenAppear	6097570157412345536	1564224857	248
OffersScreenAppear	5333260976632130785	1564225627	246
MainScreenAppear	3544085356884362414	1564228930	247
MainScreenAppear	1034477367567772443	1564232131	246
MainScreenAppear	4432437748631167125	1564233067	247
MainScreenAppear	2088762857561440959	1564236308	247
MainScreenAppear	2097351145706278887	1564237716	247
MainScreenAppear	2835790235927186969	1564237853	246
MainScreenAppear	4595859422077715633	1564238391	248
MainScreenAppear	8039133903955652950	1564242521	247
MainScreenAppear	8039133903955652950	1564242528	247
OffersScreenAppear	7851137947039862735	1564244484	246
OffersScreenAppear	2862153300066037949	1564244811	247
MainScreenAppear	3459903299997081409	1564245643	248
MainScreenAppear	4171803676862750023	1564246550	247
OffersScreenAppear	4171803676862750023	1564246552	247
OffersScreenAppear	5135530637257941047	1564247108	247
MainScreenAppear	2271703761362823687	1564249078	246
MainScreenAppear	2271703761362823687	1564249080	246
MainScreenAppear	5711954728455817973	1564249588	246
OffersScreenAppear	4104516806157656680	1564249821	248
Tutorial	2380401036382252064	1564249835	247
MainScreenAppear	6008329708716058187	1564250582	246
CartScreenAppear	2793988848638831992	1564252141	247
MainScreenAppear	2793988848638831992	1564252142	247
OffersScreenAppear	4284716907364183621	1564253762	247
MainScreenAppear	5218365729556903805	1564255514	247
MainScreenAppear	5218365729556903805	1564255522	247
MainScreenAppear	9134757032322342404	1564270549	248
MainScreenAppear	4250844148628394486	1564280028	246
MainScreenAppear	2640074586197465474	1564288472	248
CartScreenAppear	2640074586197465474	1564288475	248
MainScreenAppear	2640074586197465474	1564288475	248
OffersScreenAppear	2640074586197465474	1564288480	248
CartScreenAppear	2640074586197465474	1564288502	248
MainScreenAppear	2640074586197465474	1564288573	248
MainScreenAppear	2640074586197465474	1564288623	248
CartScreenAppear	2640074586197465474	1564288627	248
MainScreenAppear	2640074586197465474	1564288627	248
MainScreenAppear	2088030388420733246	1564290297	247
MainScreenAppear	9179835286519593473	1564291414	248
PaymentScreenSuccessful	1913449904137403859	1564295451	247
CartScreenAppear	1913449904137403859	1564295451	247
MainScreenAppear	9018979925593364699	1564297022	247
OffersScreenAppear	5287660122200561379	1564298652	247
MainScreenAppear	4601930136642303959	1564298742	246
MainScreenAppear	4078637421796153763	1564299118	248
MainScreenAppear	2851587046453391812	1564299640	246
MainScreenAppear	9111985047183779356	1564300099	247
MainScreenAppear	9111985047183779356	1564300101	247
MainScreenAppear	5286459037591191376	1564300677	246
MainScreenAppear	6632271106649913331	1564301544	248
MainScreenAppear	7247480119368198552	1564303192	248
MainScreenAppear	7098993074549869464	1564303284	246
MainScreenAppear	7098993074549869464	1564303301	246
MainScreenAppear	7098993074549869464	1564303302	246
CartScreenAppear	3881814466361668142	1564305888	246
MainScreenAppear	3862495678968227159	1564306484	246
MainScreenAppear	7098993074549869464	1564308584	246
MainScreenAppear	6718872854672502293	1564308672	246
CartScreenAppear	6740804002403370560	1564309333	247
CartScreenAppear	1816193964766086568	1564314815	246
OffersScreenAppear	8803201854993735973	1564316063	247
MainScreenAppear	3254317932296765940	1564316467	246
MainScreenAppear	7062422321199352132	1564317047	246
PaymentScreenSuccessful	2504464050730025625	1564317258	247
CartScreenAppear	2504464050730025625	1564317258	247
CartScreenAppear	2310567447000311087	1564317457	247
PaymentScreenSuccessful	2310567447000311087	1564317457	247
MainScreenAppear	2412302828863983602	1564317580	246
PaymentScreenSuccessful	8416803071325524257	1564318265	246
CartScreenAppear	8416803071325524257	1564318266	246
MainScreenAppear	519684206898074804	1564318918	248
MainScreenAppear	5652604965383417961	1564318968	247
OffersScreenAppear	5652604965383417961	1564318972	247
OffersScreenAppear	5652604965383417961	1564319002	247
MainScreenAppear	5652604965383417961	1564319152	247
OffersScreenAppear	5652604965383417961	1564319156	247
MainScreenAppear	7621543483410775428	1564319170	247
OffersScreenAppear	5652604965383417961	1564319173	247
OffersScreenAppear	519684206898074804	1564319181	248
OffersScreenAppear	4703081243737778270	1564319490	247
MainScreenAppear	519684206898074804	1564319526	248
OffersScreenAppear	519684206898074804	1564319585	248
MainScreenAppear	8810941885921686538	1564320872	247
MainScreenAppear	1956901356283862679	1564321212	247
MainScreenAppear	2068231509725197472	1564322862	246
MainScreenAppear	7379684506204665339	1564323611	247
MainScreenAppear	2126522902876821289	1564323740	247
MainScreenAppear	567723824013869921	1564324273	248
OffersScreenAppear	2158697942336348976	1564325058	246
MainScreenAppear	3546653713328088383	1564325163	246
MainScreenAppear	8523590611747568369	1564325233	247
PaymentScreenSuccessful	741217858549528863	1564326428	247
CartScreenAppear	741217858549528863	1564326428	247
MainScreenAppear	1138172792371003357	1564327166	247
CartScreenAppear	2972539849211254138	1564328177	246
CartScreenAppear	6936807426903765200	1564328666	248
PaymentScreenSuccessful	6936807426903765200	1564328666	248
MainScreenAppear	9142106487418953012	1564328767	248
CartScreenAppear	793451998969083373	1564329841	247
PaymentScreenSuccessful	793451998969083373	1564329841	247
OffersScreenAppear	8097147563042670097	1564330031	246
PaymentScreenSuccessful	3886564097555913607	1564330457	248
CartScreenAppear	3886564097555913607	1564330458	248
OffersScreenAppear	4027087623325135857	1564332756	247
MainScreenAppear	4834311234148066953	1564332805	248
MainScreenAppear	7145262973832191693	1564332831	248
OffersScreenAppear	3754241321761816423	1564332890	246
MainScreenAppear	3419698571096183433	1564333044	246
MainScreenAppear	7145262973832191693	1564333177	248
MainScreenAppear	6272197614276981235	1564334857	247
MainScreenAppear	8153287507942986034	1564335610	246
MainScreenAppear	8498269872402933391	1564336064	247
MainScreenAppear	5855519572139933341	1564336309	247
PaymentScreenSuccessful	3552770354299045294	1564336339	248
CartScreenAppear	3552770354299045294	1564336339	248
CartScreenAppear	5592800824635450534	1564337273	246
PaymentScreenSuccessful	5592800824635450534	1564337279	246
CartScreenAppear	5592800824635450534	1564337279	246
OffersScreenAppear	8904648979022564504	1564337606	246
CartScreenAppear	2675455403240375807	1564338033	248
CartScreenAppear	2675455403240375807	1564338037	248
CartScreenAppear	2675455403240375807	1564338045	248
MainScreenAppear	4838861444068287509	1564339252	246
PaymentScreenSuccessful	2649362513110678126	1564340521	248
CartScreenAppear	2649362513110678126	1564340522	248
MainScreenAppear	2121479053517501865	1564343404	248
CartScreenAppear	3464931645346456191	1564343798	246
PaymentScreenSuccessful	3464931645346456191	1564343798	246
CartScreenAppear	1014298780707644648	1564343987	248
OffersScreenAppear	6037447991253299575	1564344309	247
MainScreenAppear	5129534242263523164	1564348376	248
MainScreenAppear	6833409775887203542	1564349309	246
MainScreenAppear	7627279093057241032	1564366903	246
MainScreenAppear	944140714715575677	1564367115	246
MainScreenAppear	7533406193277938189	1564373819	247
CartScreenAppear	3550198175033203762	1564377473	247
CartScreenAppear	3550198175033203762	1564377481	247
PaymentScreenSuccessful	3550198175033203762	1564377481	247
CartScreenAppear	3550198175033203762	1564377517	247
MainScreenAppear	2010264900928396556	1564377738	247
MainScreenAppear	2584566661494152413	1564380951	248
MainScreenAppear	4104090411194596242	1564382402	246
MainScreenAppear	4318551280633519350	1564386585	248
MainScreenAppear	1372728516289204132	1564386590	246
MainScreenAppear	5933808989002199007	1564387020	246
MainScreenAppear	5955114020466554343	1564387827	248
MainScreenAppear	6988096349378098063	1564388552	248
MainScreenAppear	3318542483039799562	1564389209	247
MainScreenAppear	5683770056372019334	1564390366	248
MainScreenAppear	7692637175775763691	1564390713	247
MainScreenAppear	835150191642799249	1564390871	247
MainScreenAppear	8612317653031389156	1564391272	248
MainScreenAppear	7744604147761275547	1564392057	246
MainScreenAppear	3671825796220008693	1564392243	248
MainScreenAppear	2281630986803105924	1564392949	246
MainScreenAppear	8610656671771567917	1564393767	247
MainScreenAppear	3184294769293286652	1564393880	248
MainScreenAppear	4827775328614831155	1564393958	247
MainScreenAppear	9142106487418953012	1564394470	248
MainScreenAppear	9074203872732570728	1564394688	248
MainScreenAppear	9142106487418953012	1564394951	248
MainScreenAppear	8865292628921694792	1564395556	248
MainScreenAppear	9074203872732570728	1564395738	248
MainScreenAppear	9074203872732570728	1564395749	248
MainScreenAppear	9074203872732570728	1564395957	248
MainScreenAppear	4352034755412243011	1564396558	246
MainScreenAppear	3689985694197060241	1564397313	246
MainScreenAppear	3689985694197060241	1564397382	246
MainScreenAppear	6443325351893106270	1564397407	246
MainScreenAppear	8950563958284325449	1564398088	248
PaymentScreenSuccessful	6763955440663072082	1564398090	248
MainScreenAppear	8810941885921686538	1564398156	247
MainScreenAppear	3440032905001356409	1564399048	248
OffersScreenAppear	5254796396531621117	1564399095	246
MainScreenAppear	2708356845268272195	1564399815	246
MainScreenAppear	2170331443812801776	1564399815	248
OffersScreenAppear	2256353318851497275	1564401821	247
MainScreenAppear	8105802986983082152	1564402063	246
MainScreenAppear	7533264485152780518	1564402172	246
MainScreenAppear	4071236155579380340	1564402343	248
MainScreenAppear	6406751308482551633	1564403736	246
MainScreenAppear	939999459036561681	1564404574	246
MainScreenAppear	5563639239165244025	1564404608	248
MainScreenAppear	8230378470027789127	1564404764	246
MainScreenAppear	4537964866792137626	1564405020	247
MainScreenAppear	5651236485847140272	1564406392	247
MainScreenAppear	4537241377140182620	1564406689	246
OffersScreenAppear	8972761994045069931	1564406752	247
OffersScreenAppear	3823688916772552595	1564406967	248
MainScreenAppear	62735763365307800	1564407012	247
MainScreenAppear	8470949275084160524	1564407324	248
MainScreenAppear	1010439893181060015	1564407409	246
MainScreenAppear	727724140557128837	1564407565	248
MainScreenAppear	6575113894424246502	1564407599	246
MainScreenAppear	1106667833952216174	1564408022	247
MainScreenAppear	80958523570010555	1564408490	247
MainScreenAppear	1887002214999686051	1564408841	248
MainScreenAppear	8822682017610729706	1564409841	247
MainScreenAppear	8822682017610729706	1564409844	247
MainScreenAppear	8822682017610729706	1564409856	247
MainScreenAppear	8973626519929080220	1564410033	247
MainScreenAppear	8973626519929080220	1564410035	247
MainScreenAppear	873803562299540764	1564410057	246
MainScreenAppear	6429004127160269251	1564410114	246
MainScreenAppear	6782012376617086310	1564410362	247
OffersScreenAppear	6100016162506538145	1564410474	248
PaymentScreenSuccessful	5675585078667695835	1564410559	247
CartScreenAppear	5675585078667695835	1564410559	247
MainScreenAppear	9220879493065341500	1564410598	246
MainScreenAppear	3746015443593251752	1564410640	247
MainScreenAppear	9091173192902344330	1564411059	246
OffersScreenAppear	4050331896361332537	1564411082	247
CartScreenAppear	877451560995731305	1564411455	247
MainScreenAppear	7077488793939112555	1564411482	248
MainScreenAppear	6993217382922561333	1564411506	248
MainScreenAppear	6993217382922561333	1564411531	248
CartScreenAppear	877451560995731305	1564411713	247
MainScreenAppear	6993217382922561333	1564411734	248
MainScreenAppear	8018311918221041262	1564411743	248
MainScreenAppear	8779494766948967971	1564411752	247
MainScreenAppear	6993217382922561333	1564411769	248
MainScreenAppear	5300905056036505980	1564412125	247
OffersScreenAppear	5300905056036505980	1564412132	247
OffersScreenAppear	1859538515480149604	1564412548	248
CartScreenAppear	772204008534156278	1564413438	247
PaymentScreenSuccessful	772204008534156278	1564413438	247
